clean_text,sentiment
sample tweet 0,negative
sample tweet 1,positive
sample tweet 2,positive
sample tweet 3,neutral
sample tweet 4,positive
sample tweet 5,neutral
sample tweet 6,positive
sample tweet 7,negative
sample tweet 8,positive
sample tweet 9,positive
sample tweet 10,positive
sample tweet 11,neutral
sample tweet 12,negative
sample tweet 13,negative
sample tweet 14,positive
sample tweet 15,positive
sample tweet 16,positive
sample tweet 17,negative
sample tweet 18,neutral
sample tweet 19,negative
sample tweet 20,neutral
sample tweet 21,positive
sample tweet 22,positive
sample tweet 23,neutral
sample tweet 24,positive
sample tweet 25,negative
sample tweet 26,positive
sample tweet 27,negative
sample tweet 28,neutral
sample tweet 29,positive
sample tweet 30,negative
sample tweet 31,positive
sample tweet 32,positive
sample tweet 33,neutral
sample tweet 34,positive
sample tweet 35,positive
sample tweet 36,negative
sample tweet 37,neutral
sample tweet 38,positive
sample tweet 39,neutral
sample tweet 40,positive
sample tweet 41,negative
sample tweet 42,positive
sample tweet 43,positive
sample tweet 44,neutral
sample tweet 45,positive
sample tweet 46,positive
sample tweet 47,positive
sample tweet 48,negative
sample tweet 49,negative
sample tweet 50,positive
sample tweet 51,neutral
sample tweet 52,positive
sample tweet 53,positive
sample tweet 54,positive
sample tweet 55,negative
sample tweet 56,positive
sample tweet 57,positive
sample tweet 58,positive
sample tweet 59,positive
sample tweet 60,negative
sample tweet 61,positive
sample tweet 62,positive
sample tweet 63,positive
sample tweet 64,positive
sample tweet 65,positive
sample tweet 66,positive
sample tweet 67,positive
sample tweet 68,neutral
sample tweet 69,positive
sample tweet 70,neutral
sample tweet 71,positive
sample tweet 72,positive
sample tweet 73,positive
sample tweet 74,negative
sample tweet 75,negative
sample tweet 76,neutral
sample tweet 77,positive
sample tweet 78,negative
sample tweet 79,neutral
sample tweet 80,neutral
sample tweet 81,positive
sample tweet 82,negative
sample tweet 83,neutral
sample tweet 84,neutral
sample tweet 85,positive
sample tweet 86,negative
sample tweet 87,positive
sample tweet 88,neutral
sample tweet 89,neutral
sample tweet 90,neutral
sample tweet 91,positive
sample tweet 92,negative
sample tweet 93,positive
sample tweet 94,neutral
sample tweet 95,neutral
sample tweet 96,negative
sample tweet 97,negative
sample tweet 98,negative
sample tweet 99,positive
sample tweet 100,positive
sample tweet 101,positive
sample tweet 102,neutral
sample tweet 103,positive
sample tweet 104,positive
sample tweet 105,negative
sample tweet 106,positive
sample tweet 107,positive
sample tweet 108,positive
